Place,topic_0,topic_1,topic_2,topic_3,topic_4
214. Royal Yacht Britannia,0.092926812,0.010562821,0.04004046,0.685658551,0.170811358
51. Fram Museum,0.132386599,2.75748E-05,0.086888184,0.683055287,0.097642355
198. Musee Fabre,0.173690688,0.084807876,2.73486E-05,0.674989744,0.066484343
300. DAF Museum,0.083509214,0.032792566,0.034052607,0.671948338,0.177697275
239. Aberdeen Maritime Museum,0.053075418,0.030471637,0.061334493,0.671201913,0.18391654
234. Kunstmuseum Basel,0.174363267,0.045462155,0.021547292,0.669161784,0.089465503
37. Stadel Museum,0.246685116,0.041174347,0.000264709,0.622091204,0.089784623
133. Fitzwilliam Museum,0.20976796,0.016637957,0.002857432,0.621967778,0.148768872
41. Kelvingrove Art Gallery and Museum,0.15412517,0.031051473,0.006939931,0.620421428,0.187461998
131. The Mauritshuis Royal Picture Gallery,0.270711256,0.043227779,0.004557561,0.619927,0.061576403
271. Arktikum,0.110443184,0.0708787,0.0494096,0.615580432,0.153688085
272. Hotel de Caumont - Art Centre,0.117688403,0.107796434,0.0255369,0.610204347,0.138773916
70. Churchill War Rooms,0.24521893,0.004086687,0.004086687,0.605590447,0.141017249
90. Brunel's SS Great Britain,0.123749467,0.002914359,0.04910098,0.59601193,0.228223264
166. Pitt Rivers Museum,0.196413705,0.009840965,0.014110364,0.594748639,0.184886327
229. The Mary Rose,0.126590882,2.34384E-05,0.007758116,0.593015352,0.272612211
73. Palazzo Conte Federico,0.246042407,0.066139866,0.000289741,0.588199658,0.099328329
178. Solent Sky Museum,0.078025929,0.026386317,0.051661401,0.587013836,0.256912518
60. Museo Egizio,0.307445938,0.011478667,0.00025716,0.580970193,0.099848042
91. Oxford University Museum of Natural History,0.099280135,0.017491193,0.032807474,0.579905039,0.270516159
111. Victoria Tunnel,0.172221537,0.017046996,0.009645985,0.579277168,0.221808314
2. Musee d'Orsay,0.334140056,0.021535014,2.2409E-05,0.576380952,0.067921569
33. Vasa Museum,0.32582797,0.001193681,0.025535401,0.574160328,0.073282621
55. Anitkabir,0.28447205,0.067461022,0.028419318,0.572721511,0.0469261
